feature,importance_mean,importance_std
f25,0.15206218066808863,0.014138863780679516
f58,0.14744788994641223,0.011030044852845297
f54,0.1055989438851845,0.010028359611173888
f38,0.09796620616006148,0.010274109784641135
f47,0.07362951089766016,0.010473720155731125
f53,0.06333004595877427,0.0058208167299183405
f04,0.05255752006126875,0.005498163883743195
f33,0.042000328450511576,0.005885974095310351
f13,0.032843780234604235,0.004468276972923385
f11,0.030603465507598397,0.0039845737041099075
f08,0.02916791135980664,0.005622021924733085
f15,0.019626676052008806,0.002536191029945473
f41,0.015205886547838821,0.0031759211379118997
f43,0.01020055442925118,0.002324619847311654
f16,0.008588965300115426,0.00227422902433457
f36,0.006159121532197198,0.0014613694022900178
f52,0.005887098674387842,0.0023394143739117338
f57,0.00389752431434946,0.0013725177358182342
f46,0.0029117963110183664,0.0015081779669098038
f29,0.0016227045521259365,0.0010843717781781775
f07,0.0016041892247519451,0.0021040484341489476
f50,0.0013546925395971244,0.0006348356618263111
f34,0.0012414296031641237,0.0005261398836725012
f31,0.0010630450943283688,0.000569666512160578
f45,0.0005786560727236379,0.0005640321433329277
f19,0.0005592058252355592,0.000494302656648191
f21,0.00037359320483256744,0.00054068184844304
f05,0.0003558698599231636,0.0004153498818579428
f37,0.00017505929741943872,0.0003273357705081348
f40,0.00015572758581337555,0.0005366737487453646
f01,8.877006030825197e-05,0.0001872226789766873
f10,2.952808327616463e-05,0.00036850086025131345
f44,1.8944461202413666e-05,0.0004951059849896077
f03,1.336155699755981e-05,0.0013231565526781628
f17,4.136981228786141e-06,0.0003120248177208467
f35,-3.703845629610125e-05,0.0005436424971517626
f18,-6.683830616699415e-05,0.0003789752507041143
f56,-0.00010114234190877758,0.00023000448513376515
f02,-0.00010387936674854936,0.0007587161299019159
f51,-0.00010661232393736619,0.00039114676886513
f23,-0.00012409899482249687,0.0004856571156918319
f20,-0.0001739072594470481,0.0005446371132117765
f09,-0.00019078061881161457,0.0006026124613462302
f28,-0.00020764451733306654,0.0002488153870342221
f26,-0.00026729613913115124,0.0004011341800839514
f24,-0.00027701168074039664,0.0005138192641339578
f12,-0.0003321942164373204,0.00027534674579848226
f48,-0.00041264609372908544,0.00040753242634984795
f22,-0.00041603277775054126,0.0002633357724430841
f49,-0.00043824774122872554,0.0005177103146024947
f42,-0.00046741340931015783,0.0001841233261418591
f27,-0.0005367543111916839,0.0012031014742648353
f32,-0.0005413039106555828,0.0006546507550572443
f06,-0.000571900550463017,0.0003891309375265551
f39,-0.000652362454183375,0.0005492130220555028
f30,-0.0007145492822971222,0.0003328736954787228
f14,-0.0007151774057505389,0.0005462708991024232
f59,-0.0010646225028753896,0.0004902579567451053
f60,-0.0017227310043261613,0.0005257600538975403
f55,-0.0018317844462526877,0.0007583194573157745
